"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance","symbol","entrez","name"
"ENSG00000138623",2851.61916336974,-2.40668774795287,0.0581377404738912,-41.3963069141581,0,0,"Down","SEMA7A","8482","semaphorin 7A (JohnMiltonHagen blood group)"
"ENSG00000131747",1743.84285765667,-2.9241891266578,0.0696221109074678,-42.0008685250039,0,0,"Down","TOP2A","7153","DNA topoisomerase II alpha"
"ENSG00000167601",8245.06804500101,-2.14234576613884,0.0404435604120753,-52.9712454667862,0,0,"Down","AXL","558","AXL receptor tyrosine kinase"
"ENSG00000123416",4420.07398793879,-1.93841810302354,0.0505768737635577,-38.3261747668601,2.24305803211926e-321,1.73990651905099e-318,"Down","TUBA1B","10376","tubulin alpha 1b"
"ENSG00000059804",3443.39680712992,2.07976295776379,0.054325444136482,38.2834045965423,1.1571017425602e-320,8.5266837290574e-318,"Up","SLC2A3","6515","solute carrier family 2 member 3"
"ENSG00000150938",7442.98631416393,-2.05963136998176,0.0538449192683993,-38.2511738891309,3.97624031773035e-320,2.79056330041163e-317,"Down","CRIM1","51232","cysteine rich transmembrane BMP regulator 1"
"ENSG00000198743",1999.10327890814,2.53453041161271,0.0670975603746351,37.7738087265962,3.05912588770392e-312,2.0493362424082e-309,"Up","SLC5A3","6526","solute carrier family 5 member 3"
"ENSG00000136068",3796.1265394147,-1.64979200652909,0.0439354468940708,-37.5503636165752,1.38974796075628e-308,8.90526323722874e-306,"Down","FLNB","2317","filamin B"
"ENSG00000074800",18390.4756149844,-1.3389311782329,0.0358590405017541,-37.3387340960059,3.86276343708911e-305,2.3720586473258e-302,"Down","ENO1","2023","enolase 1"
"ENSG00000181104",14922.5173336984,1.6681595556863,0.0447581416354328,37.270527656709,4.92852393302932e-304,2.90546342899945e-301,"Up","F2R","2149","coagulation factor II thrombin receptor"
"ENSG00000115963",13232.3301349766,1.8053307351879,0.0488625256562238,36.9471432543101,8.09490280130574e-299,4.58856451867861e-296,"Up","RND3","390","Rho family GTPase 3"
"ENSG00000104368",13214.4968037918,2.02763709014494,0.0550460969585574,36.8352563065732,5.03662687468738e-297,2.74925210663491e-294,"Up","PLAT","5327","plasminogen activator, tissue type"
"ENSG00000157680",1359.06349386339,2.54493702299464,0.0693613958113156,36.6909718760225,1.01739477226519e-294,5.35513005487301e-292,"Up","DGKI","9162","diacylglycerol kinase iota"
"ENSG00000074416",2392.80973934457,-2.14808670706692,0.0589063567915364,-36.4661273259315,3.81948358169656e-291,1.94108789748427e-288,"Down","MGLL","11343","monoglyceride lipase"
"ENSG00000104081",804.838487338128,4.43413656946735,0.121636387385784,36.4540304489967,5.93875550002268e-291,2.91751261864447e-288,"Up","BMF","90427","Bcl2 modifying factor"
"ENSG00000166073",2268.80918089117,-2.20667084199752,0.0608219702420641,-36.2808181519809,3.2471740533104e-288,1.54376939347383e-285,"Down","GPR176","11245","G protein-coupled receptor 176"
"ENSG00000165434",1243.14971044106,2.51723600391845,0.0694013627924224,36.2706999205108,4.68848792217233e-288,2.15934171865549e-285,"Up","PGM2L1","283209","phosphoglucomutase 2 like 1"
"ENSG00000091527",2814.15907315816,-1.81023338620585,0.0499749122435218,-36.2228427212598,2.66049528877912e-287,1.18819332018263e-284,"Down","CDV3","55573","CDV3 homolog"
"ENSG00000033867",3157.52042924196,1.93501315035085,0.0535351938178295,36.1446930954494,4.50790104837824e-286,1.95404251914702e-283,"Up","SLC4A7","9497","solute carrier family 4 member 7"
"ENSG00000117724",1324.17284690485,-2.82511200706701,0.0781715196349048,-36.1399141306389,5.35851276581729e-286,2.21246007124452e-283,"Down","CENPF","1063","centromere protein F"
"ENSG00000101825",1024.97040543336,3.28766304086657,0.0909710086683694,36.1396788822206,5.40429926481224e-286,2.21246007124452e-283,"Up","MXRA5","25878","matrix remodeling associated 5"
"ENSG00000198959",5110.85796803933,-1.74624587636224,0.0487932151725612,-35.788702797848,1.65532804738082e-280,6.59357426008069e-278,"Down","TGM2","7052","transglutaminase 2"
"ENSG00000164938",1395.9221058483,2.31778202015524,0.0656155353001097,35.3236776863019,2.54335242070249e-273,9.86419157271404e-271,"Up","TP53INP1","94241","tumor protein p53 inducible nuclear protein 1"
"ENSG00000073712",2356.74691021857,-2.30515285867411,0.0653960104316216,-35.2491358946795,3.53714197950789e-272,1.33667688446121e-269,"Down","FERMT2","10979","FERM domain containing kindlin 2"
"ENSG00000143799",1043.84682510942,-2.61747584714388,0.0743747875420708,-35.1930530983134,2.55389891716264e-271,9.40984056028574e-269,"Down","PARP1","142","poly(ADP-ribose) polymerase 1"
"ENSG00000196549",1520.30148791169,2.83743506766431,0.0806594417484326,35.1779656064809,4.34449867398213e-271,1.56168832822314e-268,"Up","MME","4311","membrane metalloendopeptidase"
"ENSG00000110002",899.504360793506,4.43907473624359,0.126316446367383,35.1424922399483,1.51374126813074e-270,5.31179019278831e-268,"Up","VWA5A","4013","von Willebrand factor A domain containing 5A"
"ENSG00000088325",1049.74978195443,-3.01204014056547,0.0861136776866424,-34.9774881468416,4.9488472253955e-268,1.69618861413672e-265,"Down","TPX2","22974","TPX2 microtubule nucleation factor"
"ENSG00000133318",1500.97300012898,-2.41401849831798,0.0690680801096512,-34.9512900095895,1.23778005445906e-267,4.14600055514036e-265,"Down","RTN3","10313","reticulon 3"
"ENSG00000154864",1374.01910088605,2.3578604292631,0.0676832825253193,34.8366737145329,6.77630965279945e-266,2.2193167036213e-263,"Up","PIEZO2","63895","piezo type mechanosensitive ion channel component 2"
"ENSG00000197321",4211.22514661471,1.73283927511362,0.0497514734916395,34.8299086137583,8.57865614390446e-266,2.74852683149704e-263,"Up","SVIL","6840","supervillin"
"ENSG00000182752",6930.41939676306,2.01487019472781,0.0588365551172216,34.2452101540196,5.13957657221165e-257,1.61163998981394e-254,"Up","PAPPA","5069","pappalysin 1"
"ENSG00000198901",744.768135087352,-3.17652098966931,0.0928701322003413,-34.2039029600696,2.11554168132484e-256,6.49559443736781e-254,"Down","PRC1","9055","protein regulator of cytokinesis 1"
"ENSG00000277443",2830.20102519863,-1.92971757580613,0.0569242553344604,-33.8997421128834,6.72020542663724e-252,2.02127321587305e-249,"Down","MARCKS","4082","myristoylated alanine rich protein kinase C substrate"
"ENSG00000168542",62749.3849250663,1.40989019833691,0.0418063611575854,33.7242983913968,2.54632178248436e-249,7.5055380860509e-247,"Up","COL3A1","1281","collagen type III alpha 1 chain"
"ENSG00000146072",1758.22981855472,2.05910888502887,0.0611321349653416,33.6829212033289,1.02824237652941e-248,2.97141885201775e-246,"Up","TNFRSF21","27242","TNF receptor superfamily member 21"
"ENSG00000145632",3262.15452178144,1.54674961590321,0.0460243914664686,33.6071714718946,1.318001433449e-247,3.73552021657141e-245,"Up","PLK2","10769","polo like kinase 2"
"ENSG00000140943",1848.88777327798,-1.89361784370497,0.0564684145086859,-33.5341068131759,1.53500144641487e-246,4.26846251269101e-244,"Down","MBTPS1","8720","membrane bound transcription factor peptidase, site 1"
"ENSG00000102024",3591.26703399212,-1.70354659158475,0.0509601191955482,-33.4290150509219,5.19509906845727e-245,1.41787722353562e-242,"Down","PLS3","5358","plastin 3"
"ENSG00000135046",4581.91768778281,-1.46401591093082,0.043932910729635,-33.3238997056315,1.74031670266963e-243,4.66341592071727e-241,"Down","ANXA1","301","annexin A1"
"ENSG00000081923",1549.06690179341,-2.52988619955683,0.0760092229057794,-33.2839371702676,6.5940907633937e-243,1.73542338698029e-240,"Down","ATP8B1","5205","ATPase phospholipid transporting 8B1"
"ENSG00000163346",2917.79069939981,1.81056662165751,0.0547035735526511,33.0977759600088,3.19909304310847e-240,8.27161987181274e-238,"Up","PBXIP1","57326","PBX homeobox interacting protein 1"
"ENSG00000187678",2363.67043987816,1.72415483146159,0.0522701862847334,32.9854349871557,1.31392264898579e-238,3.33872275875044e-236,"Up","SPRY4","81848","sprouty RTK signaling antagonist 4"
"ENSG00000163017",4893.9021785664,-1.87095249120561,0.0567964691451074,-32.9413521538739,5.62641072109799e-238,1.40545832555156e-235,"Down","ACTG2","72","actin gamma 2, smooth muscle"
"ENSG00000152894",4900.8667898464,1.68614754661101,0.0515037696196568,32.7383327290957,4.45048495758123e-235,1.09318745508054e-232,"Up","PTPRK","5796","protein tyrosine phosphatase receptor type K"
"ENSG00000143341",2279.33849385387,2.05720946108275,0.0629925203318202,32.6579957468945,6.17032905458921e-234,1.49079196076288e-231,"Up","HMCN1","83872","hemicentin 1"
"ENSG00000115461",200904.539632615,1.27117471082657,0.0389873792451192,32.6047745562611,3.50950912591636e-233,8.34244282221861e-231,"Up","IGFBP5","3488","insulin like growth factor binding protein 5"
"ENSG00000104321",7567.20986030082,3.29744633697211,0.101231296318793,32.5733884369904,9.76966579472213e-233,2.28548149972404e-230,"Up","TRPA1","8989","transient receptor potential cation channel subfamily A member 1"
"ENSG00000113721",11145.9451572206,1.38865862882896,0.0428974942462975,32.3715558036077,6.90147616373685e-230,1.58928055783053e-227,"Up","PDGFRB","5159","platelet derived growth factor receptor beta"
"ENSG00000164924",9585.69435022083,-1.3370745547319,0.0417126600068473,-32.0544063723679,1.90592046732838e-225,4.32145474576703e-223,"Down","YWHAZ","7534","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta"
"ENSG00000173334",1074.47707273372,2.41256199077133,0.0759164093991893,31.7791898993196,1.2551554876199e-221,2.80280023887002e-219,"Up","TRIB1","10221","tribbles pseudokinase 1"
"ENSG00000160014",4226.55595021453,-1.42461130900176,0.044923037320674,-31.7122659991235,1.05266627607874e-220,2.3155515786341e-218,"Down","CALM3","808","calmodulin 3"
"ENSG00000148175",3890.72249473237,1.38275935243198,0.0437425280531821,31.6113268705188,2.5801228674322e-219,5.59203688532586e-217,"Up","STOM","2040","stomatin"
"ENSG00000171951",793.124579134863,2.9801631050234,0.0943820009628587,31.575544856229,8.0000205777242e-219,1.708758018471e-216,"Up","SCG2","7857","secretogranin II"
"ENSG00000153234",635.93920101828,4.32640777615812,0.137032428774032,31.572145475816,8.90740607746837e-219,1.87539072528184e-216,"Up","NR4A2","4929","nuclear receptor subfamily 4 group A member 2"
"ENSG00000164761",5291.78842553364,1.48922391524151,0.0474102673591682,31.4114220018952,1.41296468641529e-216,2.93299627442093e-214,"Up","TNFRSF11B","4982","TNF receptor superfamily member 11b"
"ENSG00000134057",780.375869741297,-2.66975909664191,0.085091515405976,-31.3751504354383,4.41729199961187e-216,9.04195131809441e-214,"Down","CCNB1","891","cyclin B1"
"ENSG00000135074",13374.6004179129,1.14188898922783,0.0363987536422985,31.3716508111655,4.93046485599012e-216,9.95413575994279e-214,"Up","ADAM19","8728","ADAM metallopeptidase domain 19"
"ENSG00000128591",23487.8410667789,-1.33084139978359,0.0432786387285855,-30.7505374216996,1.20271898088581e-207,2.3953611270669e-205,"Down","FLNC","2318","filamin C"
"ENSG00000127920",2352.92723869813,2.10488854182586,0.0685910619453483,30.6875047874748,8.35561038653007e-207,1.6419331450224e-204,"Up","GNG11","2791","G protein subunit gamma 11"
"ENSG00000105088",793.128211520276,2.86562585513901,0.0934444380428,30.6666283746763,1.58637939786807e-206,3.07632362707626e-204,"Up","OLFM2","93145","olfactomedin 2"
"ENSG00000092820",1475.49048809515,-1.91025660516619,0.0625713013947845,-30.5292772019188,1.06548297563108e-204,2.03936209024038e-202,"Down","EZR","7430","ezrin"
"ENSG00000183287",603.48721362449,-3.43610918544342,0.1129971105909,-30.4088234422531,4.19922345024584e-203,7.93437887304144e-201,"Down","CCBE1","147372","collagen and calcium binding EGF domains 1"
"ENSG00000130513",4665.52215751242,4.22670314152856,0.139333107448276,30.3352391899939,3.93391564265456e-202,7.33899351157504e-200,"Up","GDF15","9518","growth differentiation factor 15"
"ENSG00000171246",11339.2021259297,1.74021926027217,0.0574719655367247,30.2794457092332,2.13793251623614e-201,3.93860617803603e-199,"Up","NPTX1","4884","neuronal pentraxin 1"
"ENSG00000076513",2351.57847713981,-1.94451433585108,0.0645262837364993,-30.1352289834594,1.67503854757478e-199,3.04774297705643e-197,"Down","ANKRD13A","88455","ankyrin repeat domain 13A"
"ENSG00000176014",5059.66070673934,-1.58287883694329,0.052662585342847,-30.0569906820628,1.76917529917883e-198,3.17976897064604e-196,"Down","TUBB6","84617","tubulin beta 6 class V"
"ENSG00000068489",527.868372422255,-3.28311258381373,0.109401848160946,-30.0096628987821,7.34115843047174e-198,1.30354208371437e-195,"Down","PRR11","55771","proline rich 11"
"ENSG00000089159",2841.04018824034,-1.52007282786751,0.0507616732476532,-29.9452860911708,5.06780823604202e-197,8.89159021223659e-195,"Down","PXN","5829","paxillin"
"ENSG00000112984",587.875352632019,-3.3636567993418,0.112773761875873,-29.8265903645572,1.76656004259102e-195,3.06300728325958e-193,"Down","KIF20A","10112","kinesin family member 20A"
"ENSG00000003436",3855.53263789867,1.53740403893138,0.0515649331571781,29.8149138338865,2.50334486805576e-195,4.29003449597742e-193,"Up","TFPI","7035","tissue factor pathway inhibitor"
"ENSG00000116729",14027.992136521,1.67569487585356,0.0564166125886374,29.7021533014027,7.20237952317314e-194,1.21925658721046e-191,"Up","WLS","79971","Wnt ligand secretion mediator"
"ENSG00000171617",3172.76514957676,1.72304030542068,0.0580113244908978,29.701792202504,7.2801316104302e-194,1.21925658721046e-191,"Up","ENC1","8507","ectodermal-neural cortex 1"
"ENSG00000173546",2782.7113944163,-1.7083605317571,0.0575941386815909,-29.6620553907711,2.37112517048042e-193,3.92647671489219e-191,"Down","CSPG4","1464","chondroitin sulfate proteoglycan 4"
"ENSG00000122641",8425.96553258607,1.39132775328733,0.0469878484404924,29.610373734166,1.09874441755607e-192,1.7992550251046e-190,"Up","INHBA","3624","inhibin subunit beta A"
"ENSG00000133818",917.65645300902,-2.58022994795324,0.0872303258083233,-29.579506026642,2.74213462103312e-192,4.4410527521743e-190,"Down","RRAS2","22800","RAS related 2"
"ENSG00000111615",1215.27891511062,1.95677043153871,0.066376087078425,29.4800509892476,5.18825329509033e-191,8.31135620250448e-189,"Up","KRR1","11103","KRR1 small subunit processome component homolog"
"ENSG00000064666",5624.42477846777,-1.64273183310682,0.0557717095141296,-29.4545719939002,1.10017819338223e-190,1.74348668968466e-188,"Down","CNN2","1265","calponin 2"
"ENSG00000134250",3989.90689953644,-1.35592776118775,0.0460501559803397,-29.4445856332525,1.47683989426776e-190,2.31549642145939e-188,"Down","NOTCH2","4853","notch receptor 2"
"ENSG00000066279",593.333577786577,-3.10048884501812,0.105364406506776,-29.4263399549328,2.52841598750444e-190,3.922504718299e-188,"Down","ASPM","259266","assembly factor for spindle microtubules"
"ENSG00000116991",845.465812777274,2.42014865343042,0.0824494841226434,29.3531085025402,2.18091849039719e-189,3.34816424077852e-187,"Up","SIPA1L2","57568","signal induced proliferation associated 1 like 2"
"ENSG00000156011",1865.6956706154,1.74119412385795,0.0593370099883139,29.3441500372343,2.83763037646858e-189,4.31144293694783e-187,"Up","PSD3","23362","pleckstrin and Sec7 domain containing 3"
"ENSG00000159399",1648.34458773227,1.92240040833193,0.0659491062288314,29.1497568088574,8.41352077334704e-187,1.26529050160805e-184,"Up","HK2","3099","hexokinase 2"
"ENSG00000157557",2128.88768598769,1.84664194743466,0.0635784417060548,29.0450960715949,1.77467340578125e-185,2.64193299539434e-183,"Up","ETS2","2114","ETS proto-oncogene 2, transcription factor"
"ENSG00000103257",3712.52147667185,-1.50764330904015,0.0520551737578783,-28.96241046188,1.95828376979747e-184,2.88611861992752e-182,"Down","SLC7A5","8140","solute carrier family 7 member 5"
"ENSG00000065911",1563.07540926849,-1.9482524999733,0.0673375051430498,-28.9326504721921,4.63934084866748e-184,6.76976291362983e-182,"Down","MTHFD2","10797","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
"ENSG00000136153",4620.22110366109,-1.40313136336934,0.0486375436153367,-28.8487299948038,5.25618544307852e-183,7.59467265295012e-181,"Down","LMO7","4008","LIM domain 7"
"ENSG00000135318",10396.875971113,-1.18098787442794,0.0409964163174208,-28.8071002422254,1.74780386741376e-182,2.50088673766446e-180,"Down","NT5E","4907","5'-nucleotidase ecto"
"ENSG00000171444",1285.81453923875,1.85633936507288,0.0644924775436606,28.7838122487411,3.42039234017517e-182,4.84709060668285e-180,"Up","MCC","4163","MCC regulator of WNT signaling pathway"
"ENSG00000145147",601.510428483162,-2.6863081901415,0.0934361704442183,-28.7501957472158,9.00668490564947e-182,1.26419544894726e-179,"Down","SLIT2","9353","slit guidance ligand 2"
"ENSG00000182481",2566.38058699848,-1.6137581638862,0.0561603489902709,-28.7348314763101,1.40147184727651e-181,1.94857472501521e-179,"Down","KPNA2","3838","karyopherin subunit alpha 2"
"ENSG00000108829",3850.57518186778,-1.47517609537968,0.0513457761150199,-28.7302326889583,1.59970218673136e-181,2.20340288112587e-179,"Down","LRRC59","55379","leucine rich repeat containing 59"
"ENSG00000088448",1041.5088322989,2.36777271973743,0.0824391333705644,28.7214654367396,2.05848178097225e-181,2.8090652303675e-179,"Up","ANKRD10","55608","ankyrin repeat domain 10"
"ENSG00000108932",593.620514665934,3.86329422855306,0.135042982748612,28.6078857999215,5.36051385481181e-180,7.24800488001985e-178,"Up","SLC16A6","9120","solute carrier family 16 member 6"
"ENSG00000100345",41759.3349472728,-1.22519578046924,0.0428453892719675,-28.595743936229,7.58947681803261e-180,1.01685190312877e-177,"Down","MYH9","4627","myosin heavy chain 9"
"ENSG00000171848",822.67379311788,-2.53280647587677,0.0890287167226982,-28.4493202768026,4.96834646160753e-178,6.59671082442989e-176,"Down","RRM2","6241","ribonucleotide reductase regulatory subunit M2"
"ENSG00000038427",13753.9971136825,1.2837934778318,0.0451331267265654,28.444594269073,5.68421677210515e-178,7.4798202488648e-176,"Up","VCAN","1462","versican"
"ENSG00000141429",3588.58297366052,1.50607086837596,0.0530931883975222,28.3665553686403,5.23092759034393e-177,6.82242573685742e-175,"Up","GALNT1","2589","polypeptide N-acetylgalactosaminyltransferase 1"
"ENSG00000155903",1023.35613415789,2.050891583411,0.072450540629601,28.3074710773527,2.79646401975781e-176,3.6152883090518e-174,"Up","RASA2","5922","RAS p21 protein activator 2"
"ENSG00000091039",4444.70184434491,1.57257792698571,0.0556189653398741,28.2741312675644,7.19036000444956e-176,9.21491528222414e-174,"Up","OSBPL8","114882","oxysterol binding protein like 8"
"ENSG00000147065",17820.4971549208,-1.03012530625641,0.0365228355886079,-28.2049651856091,5.0825759737251e-175,6.45750040523798e-173,"Down","MSN","4478","moesin"
"ENSG00000117399",548.054729960495,-3.23340373471665,0.11465172399479,-28.2019634947974,5.53218280466494e-175,6.96865898932922e-173,"Down","CDC20","991","cell division cycle 20"
"ENSG00000135926",1251.33626199858,-1.85342990582591,0.0659124276154998,-28.1195818888344,5.64542294131028e-174,7.05103756856194e-172,"Down","TMBIM1","64114","transmembrane BAX inhibitor motif containing 1"
"ENSG00000173801",2853.13714423843,1.5485203146025,0.055234728999539,28.0352659033672,6.04137178755256e-173,7.48216280713863e-171,"Up","JUP","3728","junction plakoglobin"
"ENSG00000163661",1909.80217231797,-1.64964804995301,0.0590533823539856,-27.9348613778711,1.00689027180198e-171,1.23662906881813e-169,"Down","PTX3","5806","pentraxin 3"
"ENSG00000185112",747.773002441521,2.65534841498595,0.095223010487576,27.8855751502669,3.99170074656852e-171,4.8619574878452e-169,"Up","FAM43A","131583","family with sequence similarity 43 member A"
"ENSG00000103449",1051.52143130918,2.35381530119611,0.0844340431667226,27.8775623304962,4.99238639357544e-171,6.03096644823892e-169,"Up","SALL1","6299","spalt like transcription factor 1"
"ENSG00000170759",4331.58598921615,-1.28570159427756,0.0461355904082798,-27.8678907736883,6.53931742833374e-171,7.83548457388477e-169,"Down","KIF5B","3799","kinesin family member 5B"
"ENSG00000057657",689.791384929011,2.83420145513541,0.101922372124599,27.8074518484581,3.52504141994408e-170,4.18968229412386e-168,"Up","PRDM1","639","PR/SET domain 1"
"ENSG00000109685",1268.17937848349,-1.89110241662517,0.0682347299074275,-27.7146611291755,4.64880108791824e-169,5.48112243469912e-167,"Down","NSD2","7468","nuclear receptor binding SET domain protein 2"
"ENSG00000172795",852.701537725169,2.13206737907851,0.077083578616143,27.6591644725742,2.16529063747866e-168,2.53270265199687e-166,"Up","DCP2","167227","decapping mRNA 2"
"ENSG00000184838",1048.67798618006,2.27794331488566,0.0824087447870985,27.6420096043288,3.48168223302264e-168,4.04039627955021e-166,"Up","PRR16","51334","proline rich 16"
"ENSG00000166510",570.336073336896,2.83088460997294,0.102927886880838,27.503572605647,1.59113485734784e-166,1.83204261934316e-164,"Up","CCDC68","80323","coiled-coil domain containing 68"
"ENSG00000076706",1719.55770882045,-1.57938242075306,0.0575011858605267,-27.4669538917679,4.3590375990439e-166,4.9801159794348e-164,"Down","MCAM","4162","melanoma cell adhesion molecule"
"ENSG00000102225",1340.69055489962,-1.74229970795214,0.0634971609828112,-27.4390174455797,9.39525790280815e-166,1.0651331613199e-163,"Down","CDK16","5127","cyclin dependent kinase 16"
"ENSG00000197565",563.648360733133,3.41302170345438,0.124605050534609,27.3907172206188,3.53785785743984e-165,3.98022512236247e-163,"Up","COL4A6","1288","collagen type IV alpha 6 chain"
"ENSG00000161800",563.92368811932,-2.79230082364854,0.102045846136403,-27.3631992811948,7.52237101611706e-165,8.39884121481312e-163,"Down","RACGAP1","29127","Rac GTPase activating protein 1"
"ENSG00000113387",1168.42585268541,-2.03750868029085,0.0744625190071797,-27.3628760812456,7.5892812925696e-165,8.40983666841284e-163,"Down","SUB1","10923","SUB1 regulator of transcription"
"ENSG00000166851",502.683929770066,-3.32923741728525,0.121688981364441,-27.3585774156057,8.53784133997537e-165,9.39035116929529e-163,"Down","PLK1","5347","polo like kinase 1"
"ENSG00000152223",2690.47150334747,-1.50606742251621,0.0550770603950817,-27.344731394755,1.24749752867095e-164,1.3618976724113e-162,"Down","EPG5","57724","ectopic P-granules 5 autophagy tethering factor"
"ENSG00000076641",954.690284174,2.03263249152567,0.0744909435555544,27.2869746912221,6.05522761068442e-164,6.56190768575493e-162,"Up","PAG1","55824","phosphoprotein membrane anchor with glycosphingolipid microdomains 1"
"ENSG00000072041",2369.28278181903,5.09735332203113,0.186814833117032,27.2855920323941,6.28835886243668e-164,6.76480532223298e-162,"Up","SLC6A15","55117","solute carrier family 6 member 15"
"ENSG00000136378",1190.06353560081,2.13136943611487,0.0788327367071339,27.0366033851263,5.48980263727043e-161,5.86295009189069e-159,"Up","ADAMTS7","11173","ADAM metallopeptidase with thrombospondin type 1 motif 7"
"ENSG00000089685",509.548185635596,-3.09766103181094,0.114589409066205,-27.0326992437952,6.10179765274868e-161,6.4696614249072e-159,"Down","BIRC5","332","baculoviral IAP repeat containing 5"
"ENSG00000111206",489.637006535011,-3.02314009564731,0.111928827174154,-27.0094860454804,1.14350836986781e-160,1.2037875967937e-158,"Down","FOXM1","2305","forkhead box M1"
"ENSG00000174574",1409.88985133804,-1.74444145979482,0.064948277135292,-26.8589335504778,6.63330250002734e-159,6.93344767697893e-157,"Down","AKIRIN1","79647","akirin 1"
"ENSG00000167553",3002.80270522025,-1.43654751130716,0.0535105981287934,-26.8460372625544,9.3828083825552e-159,9.73829788324637e-157,"Down","TUBA1C","84790","tubulin alpha 1c"
"ENSG00000075426",1241.54577193998,-2.02417343821882,0.075406680887968,-26.8434230811212,1.00658975217481e-158,1.03742096276589e-156,"Down","FOSL2","2355","FOS like 2, AP-1 transcription factor subunit"
"ENSG00000113319",1375.65463563177,1.72034861206786,0.0641522111044405,26.8166690196713,2.06550603980545e-158,2.1139880565731e-156,"Up","RASGRF2","5924","Ras protein specific guanine nucleotide releasing factor 2"
"ENSG00000205542",10772.7240037773,-1.36860141656628,0.0510598957935185,-26.8038427281711,2.91458807292889e-158,2.96242751853972e-156,"Down","TMSB4X","7114","thymosin beta 4 X-linked"
"ENSG00000147883",1092.60954361111,2.17982979377765,0.0813913324324197,26.7820875839278,5.2248340903421e-158,5.2742195084563e-156,"Up","CDKN2B","1030","cyclin dependent kinase inhibitor 2B"
"ENSG00000119326",1060.1999959954,-2.06902762991671,0.0775868123767631,-26.667259119623,1.12895320605832e-156,1.13187158849574e-154,"Down","CTNNAL1","8727","catenin alpha like 1"
"ENSG00000100106",1548.43376339178,-1.54579702496871,0.0580504922452188,-26.628491252734,3.17663629057202e-156,3.16332876016557e-154,"Down","TRIOBP","11078","TRIO and F-actin binding protein"
"ENSG00000125384",562.779146692896,-2.72049306958519,0.102236935767581,-26.6096890439849,5.24368722445457e-156,5.18667532308801e-154,"Down","PTGER2","5732","prostaglandin E receptor 2"
"ENSG00000125845",1172.2386809597,5.52533661138903,0.207771211150542,26.5933696049238,8.09914671383474e-156,7.95768161789976e-154,"Up","BMP2","650","bone morphogenetic protein 2"
"ENSG00000134333",9887.50008844396,-1.01647209016826,0.0383140756377242,-26.5299912173123,4.3709897195974e-155,4.2662017541342e-153,"Down","LDHA","3939","lactate dehydrogenase A"
"ENSG00000157227",22662.7967620428,1.09975936191375,0.0415181926387726,26.4886135936158,1.31108202756496e-154,1.27123203435871e-152,"Up","MMP14","4323","matrix metallopeptidase 14"
"ENSG00000167900",535.537322697115,-2.99316984518003,0.113333405151274,-26.4103054274672,1.0433415777953e-153,1.00501752768282e-151,"Down","TK1","7083","thymidine kinase 1"
